"";"cor_raca";"faixa_etaria"
"1";"Branca";"0-14"
"2";"Branca";"0-14"
"3";"Branca";"0-14"
"4";"Branca";"0-14"
"5";"Branca";"0-14"
"6";"Branca";"0-14"
"7";"Branca";"0-14"
"8";"Branca";"0-14"
"9";"Branca";"0-14"
"10";"Branca";"0-14"
"11";"Branca";"0-14"
"12";"Branca";"0-14"
"13";"Branca";"0-14"
"14";"Branca";"0-14"
"15";"Branca";"0-14"
"16";"Branca";"0-14"
"17";"Branca";"0-14"
"18";"Branca";"0-14"
"19";"Branca";"0-14"
"20";"Branca";"0-14"
"21";"Branca";"0-14"
"22";"Branca";"0-14"
"23";"Branca";"0-14"
"24";"Branca";"0-14"
"25";"Branca";"0-14"
"26";"Branca";"0-14"
"27";"Branca";"0-14"
"28";"Branca";"0-14"
"29";"Branca";"0-14"
"30";"Branca";"0-14"
"31";"Branca";"0-14"
"32";"Branca";"0-14"
"33";"Branca";"0-14"
"34";"Branca";"0-14"
"35";"Branca";"0-14"
"36";"Branca";"0-14"
"37";"Branca";"0-14"
"38";"Branca";"0-14"
"39";"Branca";"0-14"
"40";"Branca";"0-14"
"41";"Branca";"0-14"
"42";"Branca";"0-14"
"43";"Branca";"0-14"
"44";"Branca";"0-14"
"45";"Branca";"0-14"
"46";"Branca";"0-14"
"47";"Branca";"0-14"
"48";"Branca";"0-14"
"49";"Branca";"0-14"
"50";"Branca";"0-14"
"51";"Branca";"0-14"
"52";"Branca";"0-14"
"53";"Branca";"0-14"
"54";"Branca";"0-14"
"55";"Branca";"0-14"
"56";"Branca";"0-14"
"57";"Branca";"0-14"
"58";"Branca";"0-14"
"59";"Branca";"0-14"
"60";"Branca";"0-14"
"61";"Branca";"0-14"
"62";"Branca";"0-14"
"63";"Branca";"0-14"
"64";"Branca";"0-14"
"65";"Branca";"0-14"
"66";"Branca";"0-14"
"67";"Branca";"0-14"
"68";"Branca";"0-14"
"69";"Branca";"0-14"
"70";"Branca";"0-14"
"71";"Branca";"0-14"
"72";"Branca";"0-14"
"73";"Branca";"0-14"
"74";"Branca";"0-14"
"75";"Branca";"0-14"
"76";"Branca";"0-14"
"77";"Branca";"0-14"
"78";"Branca";"0-14"
"79";"Branca";"0-14"
"80";"Branca";"0-14"
"81";"Branca";"0-14"
"82";"Branca";"0-14"
"83";"Branca";"0-14"
"84";"Branca";"0-14"
"85";"Branca";"0-14"
"86";"Branca";"0-14"
"87";"Branca";"0-14"
"88";"Branca";"0-14"
"89";"Branca";"0-14"
"90";"Branca";"0-14"
"91";"Branca";"0-14"
"92";"Branca";"0-14"
"93";"Branca";"0-14"
"94";"Branca";"0-14"
"95";"Branca";"0-14"
"96";"Branca";"0-14"
"97";"Branca";"0-14"
"98";"Branca";"0-14"
"99";"Branca";"0-14"
"100";"Branca";"0-14"
"101";"Branca";"0-14"
"102";"Branca";"0-14"
"103";"Branca";"0-14"
"104";"Branca";"0-14"
"105";"Branca";"0-14"
"106";"Branca";"0-14"
"107";"Branca";"0-14"
"108";"Branca";"0-14"
"109";"Branca";"0-14"
"110";"Branca";"0-14"
"111";"Branca";"0-14"
"112";"Branca";"0-14"
"113";"Branca";"0-14"
"114";"Branca";"0-14"
"115";"Branca";"0-14"
"116";"Branca";"0-14"
"117";"Branca";"0-14"
"118";"Branca";"0-14"
"119";"Branca";"15-29"
"120";"Branca";"15-29"
"121";"Branca";"15-29"
"122";"Branca";"15-29"
"123";"Branca";"15-29"
"124";"Branca";"15-29"
"125";"Branca";"15-29"
"126";"Branca";"15-29"
"127";"Branca";"15-29"
"128";"Branca";"15-29"
"129";"Branca";"15-29"
"130";"Branca";"15-29"
"131";"Branca";"15-29"
"132";"Branca";"15-29"
"133";"Branca";"15-29"
"134";"Branca";"15-29"
"135";"Branca";"15-29"
"136";"Branca";"15-29"
"137";"Branca";"15-29"
"138";"Branca";"15-29"
"139";"Branca";"15-29"
"140";"Branca";"15-29"
"141";"Branca";"15-29"
"142";"Branca";"15-29"
"143";"Branca";"15-29"
"144";"Branca";"15-29"
"145";"Branca";"15-29"
"146";"Branca";"15-29"
"147";"Branca";"15-29"
"148";"Branca";"15-29"
"149";"Branca";"15-29"
"150";"Branca";"15-29"
"151";"Branca";"15-29"
"152";"Branca";"15-29"
"153";"Branca";"15-29"
"154";"Branca";"15-29"
"155";"Branca";"15-29"
"156";"Branca";"15-29"
"157";"Branca";"15-29"
"158";"Branca";"15-29"
"159";"Branca";"15-29"
